**********************
Windows PowerShell transcript start
Start time: 20251029182228
Username: MFGIINC\Mexausa
RunAs User: MFGIINC\Mexausa
Configuration Name: 
Machine: MFGIINC (Microsoft Windows NT 10.0.26100.0)
Host Application: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Process ID: 7616
PSVersion: 5.1.26100.6725
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.6725
BuildVersion: 10.0.26100.6725
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Transcript started, output file is .\session_transcript_20251029-182228.txt
PS C:\AuditDNA\AuditDNA_Supreme_Frontend\frontend> # 2) show current branch and status
PS C:\AuditDNA\AuditDNA_Supreme_Frontend\frontend> Write-Host "`n==> GIT BRANCH & STATUS"

==> GIT BRANCH & STATUS
PS C:\AuditDNA\AuditDNA_Supreme_Frontend\frontend> git rev-parse --abbrev-ref HEAD
fix-nested-frontend-20251029-171531
PS C:\AuditDNA\AuditDNA_Supreme_Frontend\frontend> git status --porcelain
 M .env
 M .eslintrc.json
 M .gitignore
 M MexicoLoanMatcher.jsx
 M README.md
 D docs
 M netlify.toml
 M package-lock.json
 M postcss.config.js
 M public/index.html
 M src/App.css
 M src/App.js
 M src/App.jsx
 M src/api.js
 M src/components/AgentRegistrationCard.jsx
 M src/components/AgentRegistrationForm.jsx
 M src/components/App.js
 M src/components/AppraisalServicesCard.jsx
 M src/components/AuditProcessInfo.jsx
 M src/components/ContactCard.jsx
 M src/components/Dashboard.js
 M src/components/DashboardCard.css
 M src/components/DocumentUploader.jsx
 M src/components/DynamicAuditModule.jsx
 M src/components/FacialRecognition.jsx
 M src/components/Footer.js
 M src/components/Footer.jsx
 M src/components/GrowerProfileModal.jsx
 M src/components/LegalQuestionnaireCard.jsx
 M src/components/MexicoRealEstate.jsx
 M src/components/MexicoRefiCard.jsx
 M src/components/MortgageTabUS.jsx
 M src/components/OwnerBuyerForm.jsx
 M src/components/PropertyListings.jsx
 M src/components/PropertySearch.jsx
 M src/components/RateTicker.jsx
 M src/components/ReferralPartnerCard.jsx
 M src/components/Scanner.jsx
 M src/components/SearchEngines.js
 M src/components/ServiceDrawer.jsx
 M src/components/ServiceRequestCard.jsx
 M src/components/Services.jsx
 M src/components/ServicesAndCompliancePage.jsx
 M src/components/ServicesComplianceAccordion.jsx
